dttl,swin,dwin,tcprtt,synack,ackdat
0.9921259842519685,1.0,1.0,0.13455606821484106,0.20106601705237515,0.06840367091016465
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
0.11417322834645668,1.0,1.0,0.00045280679840773005,0.0010933008526187575,8.005275054930933e-05
0.0,0.0,0.0,0.0,0.0,0.0
0.9921259842519685,1.0,1.0,0.1604874750285436,0.22617685749086477,0.08650050805407913
0.11417322834645668,0.0,0.0,0.0,0.0,0.0
0.11417322834645668,1.0,1.0,0.0004487818490885502,0.0010699147381242387,8.426605320979929e-05
0.9921259842519685,1.0,1.0,0.08506327891154637,0.09374908647990256,0.055263784346316625
0.0,0.0,0.0,0.0,0.0,0.0
0.11417322834645668,1.0,1.0,0.00044408607488284044,0.0010211936662606579,9.690596119126918e-05
0.9921259842519685,1.0,1.0,0.17913506522430372,0.3715215590742996,0.05364938721023888
0.9921259842519685,1.0,1.0,0.07559928141238155,0.1664818514007308,0.01914946059192689
0.9921259842519685,1.0,1.0,0.07010857971613374,0.08221973203410474,0.043763574734509265
0.9921259842519685,1.0,1.0,0.13219476461425556,0.24693982947624843,0.049402378128465
0.0,0.0,0.0,0.0,0.0,0.0
0.9921259842519685,1.0,1.0,0.09484323493226682,0.13249598051157124,0.05153992701155358
0.9921259842519685,1.0,1.0,0.06034740679223614,0.0697783191230207,0.03802856759647234
0.11417322834645668,1.0,1.0,0.00045750257261343983,0.0010601705237515224,9.690596119126918e-05
0.11417322834645668,1.0,1.0,0.00047158989523056916,0.001130328867235079,8.637270454004429e-05
0.9921259842519685,1.0,1.0,0.03506200434426197,0.013850426309378805,0.0317121246912878
0.9921259842519685,1.0,1.0,0.05195203333731356,0.061018270401948835,0.03239678637361742
0.0,0.0,0.0,0.0,0.0,0.0
0.9921259842519685,1.0,1.0,0.03492783936695597,0.01222898903775883,0.03215592590485941
0.11417322834645668,1.0,1.0,0.00041658225453511166,0.0009373934226552983,9.83103954114325e-05
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
