[ 2024-11-06 09:44:15,049 ] 97 werkzeug - WARNING -  * Debugger is active!
[ 2024-11-06 09:44:17,878 ] 97 werkzeug - INFO -  * Debugger PIN: 173-526-570
[ 2024-11-06 09:44:34,966 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:44:34] "GET /results HTTP/1.1" 200 -
[ 2024-11-06 09:44:38,280 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:44:38] "GET / HTTP/1.1" 200 -
[ 2024-11-06 09:44:38,514 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:44:38] "GET /static/styles.css HTTP/1.1" 200 -
[ 2024-11-06 09:44:44,146 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:44:44] "GET /login HTTP/1.1" 200 -
[ 2024-11-06 09:44:44,208 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:44:44] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
[ 2024-11-06 09:44:44,210 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:44:44] "[36mGET /static/auth.js HTTP/1.1[0m" 304 -
[ 2024-11-06 09:45:33,771 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:33] "GET / HTTP/1.1" 200 -
[ 2024-11-06 09:45:33,819 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:33] "GET /static/styles.css HTTP/1.1" 200 -
[ 2024-11-06 09:45:34,881 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:34] "GET / HTTP/1.1" 200 -
[ 2024-11-06 09:45:34,931 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:34] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
[ 2024-11-06 09:45:34,973 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:34] "GET /results HTTP/1.1" 200 -
[ 2024-11-06 09:45:35,031 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:35] "GET / HTTP/1.1" 200 -
[ 2024-11-06 09:45:35,089 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:35] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
[ 2024-11-06 09:45:35,182 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:35] "GET / HTTP/1.1" 200 -
[ 2024-11-06 09:45:35,233 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:35] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
[ 2024-11-06 09:45:35,316 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:35] "GET / HTTP/1.1" 200 -
[ 2024-11-06 09:45:35,369 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:35] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
[ 2024-11-06 09:45:35,519 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:35] "GET / HTTP/1.1" 200 -
[ 2024-11-06 09:45:35,573 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:35] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
[ 2024-11-06 09:45:35,742 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:35] "GET / HTTP/1.1" 200 -
[ 2024-11-06 09:45:35,788 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:45:35] "[36mGET /static/styles.css HTTP/1.1[0m" 304 -
[ 2024-11-06 09:46:07,572 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:46:07] "GET / HTTP/1.1" 200 -
[ 2024-11-06 09:46:07,618 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:46:07] "GET /static/styles.css HTTP/1.1" 200 -
[ 2024-11-06 09:46:07,635 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:46:07] "GET /static/hacker.jpg HTTP/1.1" 200 -
[ 2024-11-06 09:46:34,971 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:46:34] "GET /results HTTP/1.1" 200 -
[ 2024-11-06 09:47:34,969 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:47:34] "GET /results HTTP/1.1" 200 -
[ 2024-11-06 09:48:34,973 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:48:34] "GET /results HTTP/1.1" 200 -
[ 2024-11-06 09:49:34,975 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:49:34] "GET /results HTTP/1.1" 200 -
[ 2024-11-06 09:50:34,967 ] 97 werkzeug - INFO - 127.0.0.1 - - [06/Nov/2024 09:50:34] "GET /results HTTP/1.1" 200 -
